State/Crop/District,Season,2000 - 2001,,,2001 - 2002,,,2002 - 2003,,,2003 - 2004,,,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Arhar/Tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,1237,7509,6.07,,,,,,,,,,,,,,,,,,,,,,1768,37464,21.19,1031,26083,25.3,1012,18972,18.75,1201,22137,18.43,1003,33014,32.92,1030,18887,18.34,949,20128,21.21
,Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879,38707,20.6,2178,44257,20.32,1770,51472,29.08,1313,23968,18.25,1544,21684,14.04,1207,17574,14.56,1046,13356,12.77
,Whole Year,1993,23376,11.73,1925,18883,9.81,1781,16520,9.28,1737,20627,11.88,2132,18412,8.64,2705,24332,9,,,,3462,27223,7.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,1993,23376,11.73,1925,18883,9.81,1781,16520,9.28,1737,20627,11.88,2132,18412,8.64,2705,24332,9,,,0,3462,27223,7.86,3025,30467,10.07,,,0,,,0,,,0,,,0,,,0,,,0,,,0,3647,76171,20.89,3209,70340,21.92,2782,70444,25.32,2514,46105,18.34,2547,54698,21.48,2237,36461,16.3,1995,33484,16.78
Total (Potato),,1993,23376,11.73,1925,18883,9.81,1781,16520,9.28,1737,20627,11.88,2132,18412,8.64,2705,24332,9,,,0,3462,27223,7.86,3025,30467,10.07,,,0,,,0,,,0,,,0,,,0,,,0,,,0,3647,76171,20.89,3209,70340,21.92,2782,70444,25.32,2514,46105,18.34,2547,54698,21.48,2237,36461,16.3,1995,33484,16.78
21. Ragi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Kharif,,,,,,,,,,,,,,,,,,,12,10,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (Ragi),,,,0,,,0,,,0,,,0,,,0,,,0,12,10,0.83,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
22. Rapeseed &Mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Buxar,Rabi,1197,700,0.58,2890,2063,0.71,839,665,0.79,753,611,0.81,786,1164,1.48,1328,1056,0.8,1089,845,0.78,1275,895,0.7,1115,792,0.71,1369,1754,1.28,1346,870,0.65,1231,2009,1.63,1396,1836,1.32,1760,1658,0.94,1267,982,0.78,1921,2313,1.2,1809,2015,1.11,1805,2041,1.13,1703,2314,1.36,1534,1813,1.18,1543,2725,1.77,1363,2614,1.92,1218,2043,1.68
Total (Rapeseed &Mustard),,1197,700,0.58,2890,2063,0.71,839,665,0.79,753,611,0.81,786,1164,1.48,1328,1056,0.8,1089,845,0.78,1275,895,0.7,1115,792,0.71,1369,1754,1.28,1346,870,0.65,1231,2009,1.63,1396,1836,1.32,1760,1658,0.94,1267,982,0.78,1921,2313,1.2,1809,2015,1.11,1805,2041,1.13,1703,2314,1.36,1534,1813,1.18,1543,2725,1.77,1363,2614,1.92,1218,2043,1.68
23. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
